# time_in_ns	dG_in_kT
10.090	3.046880
10.100	3.046880
10.110	3.046880
10.120	3.046880
10.130	3.046880
10.140	3.046880
10.150	3.046880
10.160	3.046880
10.170	3.046880
10.180	3.046880
10.190	3.046880
10.200	2.890620
10.210	2.500000
10.220	2.187500
10.230	1.875000
10.240	1.328120
10.250	1.093750
10.260	0.781250
10.270	0.781250
10.280	0.781250
10.290	0.781250
10.300	0.781250
10.310	0.781250
10.320	0.781250
10.330	0.781250
10.340	0.781250
10.350	0.781250
10.360	0.781250
10.370	0.781250
10.380	0.781250
10.390	0.781250
10.400	0.781250
10.410	0.781250
10.420	0.781250
10.430	0.781250
10.440	0.781250
10.450	0.781250
10.460	0.781250
10.470	0.703120
10.480	0.703120
10.490	0.390620
10.500	-0.078120
10.510	-0.156250
10.520	-0.234380
10.530	-0.234380
10.540	-0.234380
10.550	-0.234380
10.560	-0.234380
10.570	-0.273440
10.580	-0.273440
10.590	-0.273440
10.600	-0.273440
10.610	-0.273440
10.620	-0.273440
10.630	-0.273440
10.640	-0.273440
10.650	-0.273440
10.660	-0.273440
10.670	-0.273440
10.680	-0.273440
10.690	-0.273440
10.700	-0.273440
10.710	-0.273440
10.720	-0.273440
10.730	-0.273440
10.740	-0.273440
10.750	-0.273440
10.760	-0.273440
10.770	-0.273440
10.780	-0.273440
10.790	-0.273440
10.800	-0.273440
10.810	-0.273440
10.820	-0.273440
10.830	-0.273440
10.840	-0.273440
10.850	-0.273440
10.860	-0.273440
10.870	-0.273440
10.880	-0.273440
10.890	-0.273440
10.900	-0.273440
10.910	-0.273440
10.920	-0.273440
10.930	-0.273440
10.940	-0.273440
10.950	-0.273440
10.960	-0.273440
10.970	-0.273440
10.980	-0.273440
10.990	-0.273440
11.000	-0.273440
11.010	-0.273440
11.020	-0.273440
11.030	-0.273440
11.040	-0.273440
11.050	-0.273440
11.060	0.000000
11.070	0.390620
11.080	0.390620
11.090	0.468750
11.100	0.468750
11.110	0.468750
11.120	0.468750
11.130	0.468750
11.140	0.468750
11.150	0.468750
11.160	0.468750
11.170	0.468750
11.180	0.468750
11.190	0.468750
11.200	0.468750
11.210	0.468750
11.220	0.468750
11.230	0.468750
11.240	0.468750
11.250	0.468750
11.260	0.468750
11.270	0.468750
11.280	0.468750
11.290	0.468750
11.300	0.468750
11.310	0.468750
11.320	0.468750
11.330	0.468750
11.340	0.468750
11.350	0.468750
11.360	0.664060
11.370	0.703120
11.380	0.703120
11.390	0.703120
11.400	0.703120
11.410	0.703120
11.420	0.703120
11.430	0.703120
11.440	0.703120
11.450	0.703120
11.460	0.703120
11.470	0.703120
11.480	0.703120
11.490	0.703120
11.500	0.703120
11.510	0.703120
11.520	0.703120
11.530	0.625000
11.540	0.625000
11.550	0.625000
11.560	0.625000
11.570	0.625000
11.580	0.625000
11.590	0.625000
11.600	0.625000
11.610	0.625000
11.620	0.625000
11.630	0.625000
11.640	0.625000
11.650	0.625000
11.660	0.625000
11.670	0.625000
11.680	0.625000
11.690	0.429690
11.700	0.351560
11.710	0.351560
11.720	0.312500
11.730	0.312500
11.740	0.312500
11.750	0.312500
11.760	0.312500
